Date	BC	AB	SK	MB	ON	QC	NL	NB	NS	PE	Canada
2020-03-24	1.43	0.92	0.79	0.15	0.4	1.61	0.93	0.2	0.67	0.18	0.88
2020-03-25	1.31	1.04	0.95	0.21	0.48	2.11	1.75	0.33	0.89	0.36	1.06
2020-03-26	1.26	1.1	0.91	0.2	0.58	2.51	2.16	0.4	0.86	0.63	1.19
2020-03-27	1.26	1.12	0.95	0.23	0.66	3.13	2.68	0.62	1.09	0.81	1.39
2020-03-28	1.28	1.02	1.09	0.47	0.6	3.79	3.12	0.62	1.3	0.81	1.52
2020-03-29	1.28	1.17	0.99	0.55	0.9	4.36	3.45	0.9	1.37	0.72	1.8
2020-03-30	1.35	1.26	1.32	0.79	1.17	4.66	3.39	0.93	1.25	1.34	2.01
2020-03-31	0.98	1.28	1.36	0.85	1.34	5.24	3.2	0.95	1.4	1.61	2.16
2020-04-01	1.13	1.08	1.3	0.95	1.65	5.44	2.96	1.01	1.53	1.43	2.33
2020-04-02	1.1	1.56	1.35	1.36	1.88	6.48	2.76	1.06	1.75	1.16	2.72
2020-04-03	1.25	1.72	1.41	1.48	2.19	6.79	2.22	0.91	1.71	0.98	2.95
2020-04-04	0.89	1.72	1.18	1.35	2.56	7.49	2.05	0.86	1.84	0.98	3.19
2020-04-05	0.89	2.03	1.39	1.36	2.6	8.49	2.24	0.64	2.04	0.98	3.48
2020-04-06	0.85	2.13	0.95	1.12	2.56	8.58	2.13	0.64	2.42	0.36	3.47
2020-04-07	0.89	2	0.92	1.18	2.68	8.62	2.08	0.64	2.38	0.09	3.51
2020-04-08	0.75	2.16	0.95	0.97	2.8	9.02	1.56	0.49	2.47	0.27	3.64
2020-04-09	0.69	1.56	0.87	0.59	2.88	8.98	1.45	0.37	2.63	0.27	3.56
2020-04-10	0.65	1.37	0.79	0.5	2.89	9.29	1.53	0.31	2.92	0.27	3.61
2020-04-11	0.67	1.6	0.7	0.5	2.93	8.81	1.26	0.26	2.8	0.27	3.54
2020-04-12	0.67	1.3	0.59	0.4	2.92	8.16	0.68	0.24	2.67	0.27	3.33
2020-04-13	0.62	1.24	0.57	0.44	3.03	8.29	0.49	0.24	2.64	0.27	3.39
2020-04-14	0.63	1.61	0.5	0.3	3.13	8.17	0.44	0.2	3.02	0.27	3.45
2020-04-15	0.62	1.85	0.4	0.26	3.07	8.04	0.41	0.16	3.02	0.18	3.42
2020-04-16	0.53	2.28	0.33	0.27	3.1	8.23	0.44	0.11	3	0.09	3.51
2020-04-17	0.46	2.9	0.27	0.21	3.19	8.53	0.47	0.09	2.9	0.09	3.66
2020-04-18	0.48	3.21	0.29	0.11	3.26	8.7	0.41	0.11	3.22	0.09	3.77
2020-04-19	0.48	2.94	0.21	0.11	3.42	9.17	0.38	0.07	3.35	0.09	3.91
2020-04-20	0.58	3.8	0.19	0.08	3.6	9.59	0.33	0.04	3.6	0.09	4.19
2020-04-21	0.57	3.96	0.23	0.09	3.67	9.79	0.33	0.04	3.21	0.09	4.27
2020-04-22	0.65	4.54	0.27	0.11	3.68	10.16	0.25	0.02	3.25	0	4.44
2020-04-23	0.73	5.05	0.32	0.12	3.8	9.95	0.11	0.02	3.62	0	4.52
2020-04-24	0.77	5.23	0.41	0.13	3.87	9.68	0	0.02	3.56	0	4.51
2020-04-25	0.92	5.4	0.44	0.15	3.86	9.57	0.03	0	3.15	0	4.51
2020-04-26	0.92	6.2	0.46	0.19	3.74	9.57	0.05	0	2.89	0	4.55
2020-04-27	0.83	5.78	0.59	0.19	3.56	9.43	0.05	0	2.61	0	4.39
2020-04-28	0.91	5.67	0.56	0.18	3.54	9.37	0.05	0	2.6	0.09	4.36
2020-04-29	0.81	5.7	0.69	0.17	3.38	9.37	0.05	0	2.38	0.09	4.29
2020-04-30	0.8	5.28	0.7	0.13	3.21	9.49	0.05	0	1.75	0.09	4.18
2020-05-01	0.81	5.03	0.9	0.17	3	10.04	0.08	0	1.59	0.09	4.2
2020-05-02	0.62	4.64	0.87	0.13	3.03	10.64	0.05	0	1.43	0.09	4.27
2020-05-03	0.62	4.15	0.97	0.1	3.03	12.91	0.03	0	1.43	0.09	4.73
2020-05-04	0.63	3.68	1.24	0.09	2.97	12.72	0.03	0	1.24	0.09	4.61
2020-05-05	0.5	3.37	1.47	0.1	2.84	12.75	0.03	0.02	1.11	0	4.52
2020-05-06	0.47	2.58	1.56	0.1	2.9	12.88	0.03	0.04	0.92	0	4.47
2020-05-07	0.49	2.14	1.72	0.08	2.84	12.82	0.05	0.04	0.88	0	4.39
2020-05-08	0.47	1.7	1.56	0.05	2.9	12.49	0.03	0.04	0.71	0	4.27
2020-05-09	0.44	1.57	1.6	0.04	2.74	12.2	0.03	0.04	0.7	0	4.13
2020-05-10	0.44	1.57	1.59	0.06	2.6	9.75	0.03	0.04	0.69	0	3.52
2020-05-11	0.36	1.5	1.22	0.08	2.54	9.73	0.03	0.04	0.5	0	3.46
2020-05-12	0.36	1.46	1.04	0.07	2.52	9.67	0.03	0.02	0.42	0	3.42
2020-05-13	0.34	1.43	0.79	0.06	2.44	9.33	0.03	0	0.38	0	3.3
2020-05-14	0.29	1.42	0.62	0.06	2.39	9.14	0	0	0.28	0	3.22
2020-05-15	0.26	1.35	0.56	0.05	2.25	8.77	0	0	0.38	0	3.07
2020-05-16	0.27	1.39	0.46	0.05	2.3	8.65	0	0	0.38	0	3.07
2020-05-17	0.27	1.26	0.34	0.02	2.34	8.66	0	0	0.32	0	3.07
2020-05-18	0.25	1.24	0.29	0.01	2.34	8.59	0	0	0.35	0	3.04
2020-05-19	0.24	1.2	0.32	0.01	2.4	8.27	0	0	0.35	0	2.99
2020-05-20	0.25	1	0.52	0.01	2.46	8.06	0	0	0.31	0	2.95
2020-05-21	0.24	1	0.48	0.01	2.53	7.95	0	0.02	0.29	0	2.95
2020-05-22	0.28	0.92	0.45	0.03	2.62	7.85	0	0.02	0.2	0	2.96
2020-05-23	0.25	0.75	0.47	0.03	2.64	7.75	0	0.02	0.18	0	2.92
2020-05-24	0.25	0.7	0.48	0.03	2.76	7.48	0	0.02	0.15	0	2.89
2020-05-25	0.24	0.63	0.51	0.02	2.86	7.25	0	0.02	0.12	0	2.87
2020-05-26	0.26	0.6	0.42	0.02	2.72	7.33	0	0.04	0.12	0	2.83
2020-05-27	0.23	0.68	0.21	0.02	2.63	7.26	0	0.05	0.12	0	2.78
2020-05-28	0.22	0.6	0.21	0.04	2.6	7	0.03	0.09	0.13	0	2.7
2020-05-29	0.15	0.58	0.17	0.02	2.5	6.81	0.03	0.13	0.1	0	2.61
2020-05-30	0.16	0.56	0.18	0.02	2.42	6.35	0.03	0.15	0.1	0	2.47
2020-05-31	0.16	0.48	0.17	0.03	2.29	6.07	0.03	0.2	0.09	0	2.35
2020-06-01	0.19	0.53	0.15	0.03	2.29	5.6	0.03	0.2	0.09	0	2.25
2020-06-02	0.17	0.5	0.15	0.05	2.44	4.99	0.03	0.2	0.07	0	2.17
2020-06-03	0.2	0.48	0.12	0.06	2.49	4.57	0.03	0.22	0.07	0	2.09
2020-06-04	0.21	0.44	0.11	0.04	2.46	4.07	0	0.18	0.04	0	1.96
2020-06-05	0.19	0.38	0.1	0.06	2.46	3.6	0	0.15	0.04	0	1.85
2020-06-06	0.16	0.47	0.06	0.06	2.59	3.29	0	0.13	0.03	0	1.83
2020-06-07	0.16	0.41	0.05	0.05	2.67	2.98	0	0.09	0.04	0	1.79
2020-06-08	0.17	0.51	0.1	0.05	2.52	2.82	0	0.26	0.03	0	1.71
2020-06-09	0.19	0.56	0.12	0.03	2.31	2.65	0	0.26	0.04	0	1.59
2020-06-10	0.16	0.65	0.13	0.02	2.22	2.42	0	0.29	0.04	0	1.52
2020-06-11	0.17	0.73	0.15	0.02	2.08	2.24	0	0.31	0.04	0	1.43
2020-06-12	0.21	0.8	0.17	0.01	1.92	2.11	0	0.33	0.04	0	1.36
2020-06-13	0.21	0.79	0.17	0.03	1.74	1.99	0	0.38	0.04	0	1.26
2020-06-14	0.21	0.95	0.18	0.04	1.52	1.84	0	0.37	0.03	0	1.16
2020-06-15	0.24	0.81	0.35	0.04	1.46	1.68	0	0.26	0.03	0	1.09
2020-06-16	0.24	0.82	0.34	0.04	1.42	1.6	0	0.29	0.01	0	1.06
2020-06-17	0.26	0.82	0.42	0.06	1.36	1.54	0	0.24	0	0	1.03
2020-06-18	0.25	0.85	0.58	0.08	1.33	1.49	0	0.2	0	0	1.01
2020-06-19	0.22	0.9	0.64	0.1	1.33	1.47	0	0.18	0	0	1.01
2020-06-20	0.22	0.94	0.75	0.1	1.27	1.41	0	0.13	0	0	0.98
2020-06-21	0.22	0.88	0.98	0.09	1.25	1.35	0	0.13	0	0	0.96
2020-06-22	0.21	0.91	0.82	0.1	1.23	1.31	0	0.07	0	0	0.94
2020-06-23	0.22	0.97	0.84	0.1	1.26	1.22	0	0.04	0	0	0.94
2020-06-24	0.21	0.95	0.78	0.09	1.23	1.12	0	0.02	0	0	0.9
2020-06-25	0.24	0.88	0.62	0.08	1.25	1.15	0	0.02	0	0	0.9
2020-06-26	0.24	0.85	0.68	0.07	1.18	0.89	0	0.02	0	0	0.81
2020-06-27	0.24	0.92	0.62	0.09	1.14	0.68	0	0.02	0	0	0.76
2020-06-28	0.24	0.94	0.39	0.09	1.14	0.52	0	0.02	0	0	0.72
2020-06-29	0.23	1.07	0.34	0.1	1.24	0.92	0	0.02	0	0	0.86
2020-06-30	0.22	1.06	0.39	0.11	1.18	0.96	0	0	0.01	0	0.84
2020-07-01	0.19	0.91	0.34	0.1	1.02	0.86	0	0	0.01	0	0.74
2020-07-02	0.2	1.13	0.44	0.09	1.13	0.85	0	0	0.04	0	0.81
2020-07-03	0.19	1.2	0.29	0.07	1.18	1	0	0	0.04	0	0.86
2020-07-04	0.19	0.98	0.23	0.03	1.14	1.18	0	0	0.04	0.27	0.86
2020-07-05	0.19	0.85	0.22	0.03	1.11	1.31	0	0	0.04	0.45	0.86
2020-07-06	0.21	1.04	0.32	0.01	1.01	0.91	0	0	0.06	0.45	0.76
2020-07-07	0.21	1.06	0.25	0	0.96	0.9	0	0	0.04	0.45	0.74
2020-07-08	0.26	1.21	0.28	0	1.08	1.04	0	0	0.06	0.45	0.84
2020-07-09	0.24	1.02	0.22	0	0.95	1.04	0	0.02	0.03	0.54	0.76
2020-07-10	0.29	1.09	0.23	0	0.9	1.06	0.03	0.02	0.03	0.54	0.76
2020-07-11	0.29	1.09	0.23	0	0.91	1.04	0.03	0.02	0.03	0.27	0.76
2020-07-12	0.29	1.09	0.23	0	0.9	1.1	0.03	0.02	0.03	0.18	0.77
2020-07-13	0.38	1.41	0.8	0	0.86	1.14	0.03	0.02	0.01	0.27	0.83
2020-07-14	0.38	1.54	0.85	0.05	0.86	1.22	0.03	0.04	0.01	0.36	0.87
2020-07-15	0.39	1.65	0.88	0.05	0.85	1.29	0.03	0.05	0.01	0.36	0.9
2020-07-16	0.39	1.92	1.33	0.06	0.79	1.31	0.03	0.04	0.01	0.27	0.92
2020-07-17	0.4	2.01	1.47	0.11	0.79	1.38	0	0.04	0.01	0.27	0.96
2020-07-18	0.4	2.01	1.53	0.12	0.82	1.49	0	0.04	0.01	0.27	1
2020-07-19	0.4	2.01	1.55	0.19	0.85	1.57	0	0.05	0.01	0.18	1.03
2020-07-20	0.51	2.46	1.1	0.3	0.87	1.65	0	0.07	0.01	0.09	1.12
2020-07-21	0.56	2.64	1.14	0.37	0.96	1.77	0.03	0.05	0.01	0	1.21
2020-07-22	0.59	2.8	1.81	0.46	1.02	1.79	0.05	0.04	0	0	1.28
2020-07-23	0.62	2.78	1.81	0.46	1.02	1.79	0.05	0.04	0	0	1.28
2020-07-24	0.61	2.8	1.98	0.5	1.1	1.83	0.08	0.04	0	0	1.33
2020-07-25	0.61	2.8	2.36	0.53	1.07	1.85	0.08	0.04	0	0	1.34
2020-07-26	0.61	2.8	2.85	0.53	1.04	1.86	0.11	0.02	0	0	1.34
2020-07-27	0.56	2.59	2.99	0.48	1.03	1.85	0.11	0	0	0	1.31
2020-07-28	0.54	2.4	3.01	0.4	0.94	1.83	0.08	0	0	0	1.24
2020-07-29	0.56	2.4	2.88	0.34	0.85	1.78	0.05	0	0	0	1.19
2020-07-30	0.55	2.39	2.84	0.35	0.84	1.75	0.05	0	0	0	1.18
2020-07-31	0.62	2.45	2.67	0.32	0.78	1.78	0.03	0	0.03	0	1.17
2020-08-01	0.62	2.45	2.4	0.3	0.77	1.74	0.03	0	0.03	0	1.14
2020-08-02	0.62	2.45	1.99	0.42	0.75	1.69	0	0	0.06	0	1.12
2020-08-03	0.39	1.46	1.82	0.44	0.63	1.65	0	0	0.06	0	0.91
2020-08-04	0.73	2.18	1.82	0.39	0.7	1.57	0	0	0.06	0	1.05
2020-08-05	0.75	2.06	1.31	0.38	0.71	1.65	0	0.07	0.06	0	1.05
2020-08-06	0.8	1.87	0.98	0.67	0.71	1.67	0	0.11	0.06	0	1.04
2020-08-07	0.81	1.9	1.09	0.79	0.67	1.55	0.03	0.11	0.03	0	1
2020-08-08	0.81	1.9	1.2	0.93	0.61	1.51	0.03	0.11	0.03	0	0.99
2020-08-09	0.81	1.9	1.25	1.11	0.58	1.46	0.03	0.11	0	0	0.96
2020-08-10	1.18	2.73	1.1	1.2	0.69	1.5	0.05	0.11	0	0	1.17
2020-08-11	0.9	2.02	1.35	1.23	0.55	1.46	0.05	0.13	0	0	0.99
2020-08-12	1	2.11	1.31	1.39	0.56	1.35	0.05	0.07	0	0.45	1
2020-08-13	1.09	2.17	1.5	1.34	0.54	1.31	0.05	0.07	0	0.45	1
2020-08-14	1.18	2.01	1.6	1.57	0.54	1.27	0.03	0.07	0.01	0.45	1
2020-08-15	1.18	2.01	1.61	1.62	0.58	1.19	0.03	0.15	0.04	0.45	1
2020-08-16	1.18	2.01	1.64	1.61	0.58	1.13	0.03	0.18	0.04	0.45	0.99
2020-08-17	1.47	2.34	1.59	1.79	0.57	0.97	0	0.18	0.06	0.45	1.03
2020-08-18	1.57	2.09	1.25	1.93	0.66	0.89	0	0.16	0.06	0.72	1.03
2020-08-19	1.52	1.96	1.24	1.92	0.66	0.84	0	0.15	0.07	0.27	0.99
2020-08-20	1.53	2.05	0.96	2	0.66	0.8	0	0.11	0.09	0.27	0.99
2020-08-21	1.55	2.25	0.65	1.94	0.7	0.82	0	0.15	0.07	0.27	1.02
2020-08-22	1.55	2.25	0.38	2.16	0.7	0.86	0	0.07	0.06	0.27	1.03
2020-08-23	1.55	2.25	0.24	2.56	0.73	0.87	0	0.05	0.09	0.27	1.06
